iso_code,region,income_group,country
ABW,Latin America & Caribbean,High income,Aruba
AFG,South Asia,Low income,Afghanistan
AGO,Sub-Saharan Africa,Lower middle income,Angola
ALB,Europe & Central Asia,Upper middle income,Albania
AND,Europe & Central Asia,High income,Andorra
ARB,null,null,Arab World
ARE,Middle East & North Africa,High income,United Arab Emirates
ARG,Latin America & Caribbean,Upper middle income,Argentina
ARM,Europe & Central Asia,Upper middle income,Armenia
ASM,East Asia & Pacific,Upper middle income,American Samoa
ATG,Latin America & Caribbean,High income,Antigua and Barbuda
AUS,East Asia & Pacific,High income,Australia
AUT,Europe & Central Asia,High income,Austria
AZE,Europe & Central Asia,Upper middle income,Azerbaijan
BDI,Sub-Saharan Africa,Low income,Burundi
BEL,Europe & Central Asia,High income,Belgium
BEN,Sub-Saharan Africa,Low income,Benin
BFA,Sub-Saharan Africa,Low income,Burkina Faso
BGD,South Asia,Lower middle income,Bangladesh
BGR,Europe & Central Asia,Upper middle income,Bulgaria
BHR,Middle East & North Africa,High income,Bahrain
BHS,Latin America & Caribbean,High income,"Bahamas, The"
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina
BLR,Europe & Central Asia,Upper middle income,Belarus
BLZ,Latin America & Caribbean,Upper middle income,Belize
BMU,North America,High income,Bermuda
BOL,Latin America & Caribbean,Lower middle income,Bolivia
BRA,Latin America & Caribbean,Upper middle income,Brazil
BRB,Latin America & Caribbean,High income,Barbados
BRN,East Asia & Pacific,High income,Brunei Darussalam
BTN,South Asia,Lower middle income,Bhutan
BWA,Sub-Saharan Africa,Upper middle income,Botswana
CAF,Sub-Saharan Africa,Low income,Central African Republic
CAN,North America,High income,Canada
CEB,null,null,Central Europe and the Baltics
CHE,Europe & Central Asia,High income,Switzerland
CHI,Europe & Central Asia,High income,Channel Islands
CHL,Latin America & Caribbean,High income,Chile
CHN,East Asia & Pacific,Upper middle income,China
CIV,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire
CMR,Sub-Saharan Africa,Lower middle income,Cameroon
COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep."
COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep."
COL,Latin America & Caribbean,Upper middle income,Colombia
COM,Sub-Saharan Africa,Lower middle income,Comoros
CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde
CRI,Latin America & Caribbean,Upper middle income,Costa Rica
CSS,null,null,Caribbean small states
CUB,Latin America & Caribbean,Upper middle income,Cuba
CUW,Latin America & Caribbean,High income,Curaçao
CYM,Latin America & Caribbean,High income,Cayman Islands
CYP,Europe & Central Asia,High income,Cyprus
CZE,Europe & Central Asia,High income,Czech Republic
DEU,Europe & Central Asia,High income,Germany
DJI,Middle East & North Africa,Lower middle income,Djibouti
DMA,Latin America & Caribbean,Upper middle income,Dominica
DNK,Europe & Central Asia,High income,Denmark
DOM,Latin America & Caribbean,Upper middle income,Dominican Republic
DZA,Middle East & North Africa,Upper middle income,Algeria
EAP,null,null,East Asia & Pacific (excluding high income)
EAR,null,null,Early-demographic dividend
EAS,null,null,East Asia & Pacific
ECA,null,null,Europe & Central Asia (excluding high income)
ECS,null,null,Europe & Central Asia
ECU,Latin America & Caribbean,Upper middle income,Ecuador
EGY,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep."
EMU,null,null,Euro area
ERI,Sub-Saharan Africa,Low income,Eritrea
ESP,Europe & Central Asia,High income,Spain
EST,Europe & Central Asia,High income,Estonia
ETH,Sub-Saharan Africa,Low income,Ethiopia
EUU,null,null,European Union
FCS,null,null,Fragile and conflict affected situations
FIN,Europe & Central Asia,High income,Finland
FJI,East Asia & Pacific,Upper middle income,Fiji
FRA,Europe & Central Asia,High income,France
FRO,Europe & Central Asia,High income,Faroe Islands
FSM,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts."
GAB,Sub-Saharan Africa,Upper middle income,Gabon
GBR,Europe & Central Asia,High income,United Kingdom
GEO,Europe & Central Asia,Upper middle income,Georgia
GHA,Sub-Saharan Africa,Lower middle income,Ghana
GIB,Europe & Central Asia,High income,Gibraltar
GIN,Sub-Saharan Africa,Low income,Guinea
GMB,Sub-Saharan Africa,Low income,"Gambia, The"
GNB,Sub-Saharan Africa,Low income,Guinea-Bissau
GNQ,Sub-Saharan Africa,Upper middle income,Equatorial Guinea
GRC,Europe & Central Asia,High income,Greece
GRD,Latin America & Caribbean,Upper middle income,Grenada
GRL,Europe & Central Asia,High income,Greenland
