"iso_code","country","region","capital","income_group"
"AFG","Afghanistan","South Asia","Kabul","Low income"
"AGO","Angola","Sub-Saharan Africa","Luanda","Lower middle income"
"ALB","Albania","Europe & Central Asia","Tirana","Upper middle income"
"AND","Andorra","Europe & Central Asia","Andorra la Vella","High income"
"ARE","United Arab Emirates","Middle East & North Africa","Abu Dhabi","High income"
"ARG","Argentina","Latin America & Caribbean","Buenos Aires","Upper middle income"
"ARM","Armenia","Europe & Central Asia","Yerevan","Upper middle income"
"ATG","Antigua and Barbuda","Latin America & Caribbean","St. John's","High income"
"AUS","Australia","East Asia & Pacific","Canberra","High income"
"AUT","Austria","Europe & Central Asia","Vienna","High income"
"AZE","Azerbaijan","Europe & Central Asia","Baku","Upper middle income"
"BDI","Burundi","Sub-Saharan Africa","Bujumbura","Low income"
"BEL","Belgium","Europe & Central Asia","Brussels","High income"
"BEN","Benin","Sub-Saharan Africa","Porto Novo","Low income"
"BFA","Burkina Faso","Sub-Saharan Africa","Ouagadougou","Low income"
"BGD","Bangladesh","South Asia","Dhaka","Lower middle income"
"BGR","Bulgaria","Europe & Central Asia","Sofia","Upper middle income"
"BHR","Bahrain","Middle East & North Africa","Manama","High income"
"BHS","Bahamas, The","Latin America & Caribbean","Nassau","High income"
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Sarajevo","Upper middle income"
"BLR","Belarus","Europe & Central Asia","Minsk","Upper middle income"
"BLZ","Belize","Latin America & Caribbean","Belmopan","Upper middle income"
"BOL","Bolivia","Latin America & Caribbean","Sucre","Lower middle income"
"BRA","Brazil","Latin America & Caribbean","Brasilia","Upper middle income"
"BRB","Barbados","Latin America & Caribbean","Bridgetown","High income"
"BRN","Brunei Darussalam","East Asia & Pacific","Bandar Seri Begawan","High income"
"BTN","Bhutan","South Asia","Thimphu","Lower middle income"
"BWA","Botswana","Sub-Saharan Africa","Gaborone","Upper middle income"
"CAF","Central African Republic","Sub-Saharan Africa","Bangui","Low income"
"CAN","Canada","North America","Ottawa","High income"
"CHE","Switzerland","Europe & Central Asia","Bern","High income"
"CHL","Chile","Latin America & Caribbean","Santiago","High income"
"CHN","China","East Asia & Pacific","Beijing","Upper middle income"
"CIV","Côte d'Ivoire","Sub-Saharan Africa","Yamoussoukro","Lower middle income"
"CMR","Cameroon","Sub-Saharan Africa","Yaoundé","Lower middle income"
"COD","Congo, Dem. Rep.","Sub-Saharan Africa","Kinshasa","Low income"
"COG","Congo, Rep.","Sub-Saharan Africa","Brazzaville","Lower middle income"
"COL","Colombia","Latin America & Caribbean","Bogota","Upper middle income"
"COM","Comoros","Sub-Saharan Africa","Moroni","Lower middle income"
"CPV","Cabo Verde","Sub-Saharan Africa","Praia","Lower middle income"
"CRI","Costa Rica","Latin America & Caribbean","San José","Upper middle income"
"CUB","Cuba","Latin America & Caribbean","Havana","Upper middle income"
"CYP","Cyprus","Europe & Central Asia","Nicosia","High income"
"CZE","Czech Republic","Europe & Central Asia","Prague","High income"
"DEU","Germany","Europe & Central Asia","Berlin","High income"
"DJI","Djibouti","Middle East & North Africa","Djibouti","Lower middle income"
"DMA","Dominica","Latin America & Caribbean","Roseau","Upper middle income"
"DNK","Denmark","Europe & Central Asia","Copenagen","High income"
"DOM","Dominican Republic","Latin America & Caribbean","Santo Domingo","Upper middle income"
"DZA","Algeria","Middle East & North Africa","Algiers","Upper middle income"
"ECU","Ecuador","Latin America & Caribbean","Quito","Upper middle income"
"EGY","Egypt, Arab Rep.","Middle East & North Africa","Cairo","Lower middle income"
"ERI","Eritrea","Sub-Saharan Africa","Asmara","Low income"
"ESP","Spain","Europe & Central Asia","Madrid","High income"
"EST","Estonia","Europe & Central Asia","Tallinn","High income"
"ETH","Ethiopia","Sub-Saharan Africa","Addis Ababa","Low income"
"FIN","Finland","Europe & Central Asia","Helsinki","High income"
"FJI","Fiji","East Asia & Pacific","Suva","Upper middle income"
"FRA","France","Europe & Central Asia","Paris","High income"
"FSM","Micronesia, Fed. Sts.","East Asia & Pacific","Palikir","Lower middle income"
"GAB","Gabon","Sub-Saharan Africa","Libreville","Upper middle income"
"GBR","United Kingdom","Europe & Central Asia","London","High income"
"GEO","Georgia","Europe & Central Asia","Tbilisi","Upper middle income"
"GHA","Ghana","Sub-Saharan Africa","Accra","Lower middle income"
"GIN","Guinea","Sub-Saharan Africa","Conakry","Low income"
"GMB","Gambia, The","Sub-Saharan Africa","Banjul","Low income"
"GNB","Guinea-Bissau","Sub-Saharan Africa","Bissau","Low income"
"GNQ","Equatorial Guinea","Sub-Saharan Africa","Malabo","Upper middle income"
"GRC","Greece","Europe & Central Asia","Athens","High income"
"GRD","Grenada","Latin America & Caribbean","St. George's","Upper middle income"
"GTM","Guatemala","Latin America & Caribbean","Guatemala City","Upper middle income"
"GUY","Guyana","Latin America & Caribbean","Georgetown","Upper middle income"
"HND","Honduras","Latin America & Caribbean","Tegucigalpa","Lower middle income"
"HRV","Croatia","Europe & Central Asia","Zagreb","High income"
"HTI","Haiti","Latin America & Caribbean","Port-au-Prince","Low income"
"HUN","Hungary","Europe & Central Asia","Budapest","High income"
"IDN","Indonesia","East Asia & Pacific","Jakarta","Lower middle income"
"IND","India","South Asia","New Delhi","Lower middle income"
"IRL","Ireland","Europe & Central Asia","Dublin","High income"
"IRN","Iran, Islamic Rep.","Middle East & North Africa","Tehran","Upper middle income"
"IRQ","Iraq","Middle East & North Africa","Baghdad","Upper middle income"
"ISL","Iceland","Europe & Central Asia","Reykjavík","High income"
