"iso_code","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AFG","Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","839.4859","888.1534","885.8408","979.274","1031.6432","1176.1263","1218.1182","1454.663","1637.3779","1626.7648","1806.7639","1874.7656","1897.5259","1886.693","1896.9926","1934.6367","1955.0062"
"AGO","Angola","3089.6833","3120.3562","2908.161","2190.768","2195.5322","2496.1995","2794.897","2953.3428","3027.3418","3037.7212","3097.3074","3191.2664","3564.096","3614.6072","3978.6973","4555.186","5048.8765","5697.2515","6221.4233","6092.783","6230.297","6346.395","6772.5283","6980.423","7199.2456","7096.6006","6756.935","6650.585","6452.355"
"ALB","Albania","2549.473","1909.114","1823.3076","2057.4497","2289.873","2665.765","2980.0664","2717.362","3021.0146","3471.6526","3861.3342","4301.353","4661.3716","4994.519","5422.7783","5865.306","6559.783","7276.3027","8228.374","8814.811","9628.025","10207.752","10526.235","10571.011","11259.226","11662.03","11868.179","12930.14","13364.155"
"AND","Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARE","United Arab Emirates","72906.52","71753.73","71567.83","70082.39","72471.69","74994.38","76848.79","80390.06","77421.11","76654.26","82215.31","80843.6","79863.49","82946.336","85147.22","81635.47","79970.734","72802.164","66641.484","56975.53","54230.17","56574.29","58961.203","62641.836","66444","70212.09","72386.09","73137.87","75075.26"
"ARG","Argentina","7380.115","8210.644","8942.57","9777.214","10435.911","10225.119","10857.43","11802.843","12255.676","11878.731","11916.583","11514.619","10310.129","11307.758","12527.801","13916.53","15334.937","16994.695","17850.13","16753.395","18524.857","19817.451","19764.225","20365.613","20008.32","20551.834","20130.408","20843.154","20610.568"
"ARM","Armenia","2428.559","2237.7527","1356.2108","1296.1785","1429.1024","1591.8949","1742.7341","1852.2001","2025.5554","2136.1216","2327.3625","2621.8542","3031.1218","3539.6304","4038.455","4772.59","5609.169","6609.172","7264.561","6326.658","6565.6787","7019.7676","7649.0615","8003.088","8405.073","8727.386","8808.572","9620.818","10343.176"
"ATG","Antigua and Barbuda","11326.702","11806.234","12005.986","12682.476","13524.67","12924.355","13729.758","14416.115","14951.181","15423.994","16526.986","15804.121","15994.176","17059.137","18284.467","19784.967","22634.002","24994.559","25064.102","21852.203","20134.816","19876.215","20672.912","20656.38","21599.2","22422.03","23670.303","24644.553","26868.133"
"AUS","Australia","17329.707","17790.98","18189.379","19131.842","20064.459","20894.396","21972.053","22934.785","24196.72","25264.365","26328.674","27336.684","28718.24","29693.906","31327.377","32575.068","34306.652","36560.406","37459.31","40300.31","39324.367","41965.36","42826.79","45902.047","46880.22","46276.152","47305.88","49628.812","51663.363"
"AUT","Austria","19442.312","20585.02","21259.637","21698.309","22606.83","23660.408","24529.207","25424.07","26674.61","27606.482","29380.066","29715.223","31178.693","32108.633","33743.043","35013.715","37623.074","39392.54","41316.227","40926.523","42006.047","44452.734","46457.348","47922.05","48799.715","49879.266","51809.51","53937.066","55454.688"
