"iso_code","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"AFG","Afghanistan","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","18.2","31.7","31.7","31.7","31.7","31.7","31.7","31.7","43"
"AGO","Angola","0","0","0","0","0","0","0","0","0","0","0","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","66","66","66","66","66"
"ALB","Albania","0","0","0","0","0","0","0","0","0","0","0","98.7","98.7","98.7","98.7","98.7","98.7","98.7","95.9","95.9","95.9","96.8","97.2","97.2","97.2","97.2","97.2","97.2","98.1"
"AND","Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARE","United Arab Emirates","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","90","90","90","90","90","90","90","90","90","90","90","90","90","90"
"ARG","Argentina","93.9","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","97.2","97.2","97.2","97.2","97.2","98.6","98.6","98.6","99","99","99.1","99.1","99.1","99","99.2","99.1","99.1","99"
"ARM","Armenia","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7"
"ATG","Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"AUS","Australia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AUT","Austria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AZE","Azerbaijan","0","0","0","0","0","0","0","0","0","98.8","98.8","98.8","98.8","98.8","98.8","98.8","98.8","99.6","99.6","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8"
"BDI","Burundi","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","37.4","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","48.1","48.1","48.1","48.1","48.1","48.1","61.6","61.6","61.6","68.4","68.4"
"BEL","Belgium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BEN","Benin","16.5","16.5","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","27.2","34.7","34.7","34.7","34.7","28.7","28.7","28.7","28.7","28.7","28.7","32.9","32.9","32.9","32.9","32.9","32.9","42.4"
"BFA","Burkina Faso","8.7","13.6","13.6","13.6","13.6","13.6","12.8","12.8","12.8","12.8","12.8","12.8","12.8","21.8","21.8","23.6","22.5","28.7","28.7","28.7","28.7","28.7","28.7","28.7","34.6","34.6","34.6","34.6","41.2"
"BGD","Bangladesh","29.2","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","35.3","47.5","47.5","47.5","47.5","47.5","47.5","46.7","46.7","46.7","46.7","58.8","57.9","61","61.1","65.1","72.8","72.9","73.9"
"BGR","Bulgaria","0","0","0","0","0","0","0","0","0","0","0","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.2","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4"
"BHR","Bahrain","69.8","84","84","84","84","84","84","84","84","84","84","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","91","91","91","91","91","91","97.1","97.4","97.5"
"BHS","Bahamas, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BIH","Bosnia and Herzegovina","0","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","89.1","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","98.1","98.1","97","97","97","97","97","97"
"BLR","Belarus","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","97.9","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.8"
"BLZ","Belize","0","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3"
"BOL","Bolivia","63.2","63.2","80","80","80","80","80","80","80","80","80","86.7","86.7","86.7","86.7","86.7","86.7","90.7","90.7","91.2","91.2","92.2","94.5","94.5","94.5","92.5","92.5","92.5","92.5"
"BRA","Brazil","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","86.4","86.4","86.4","86.4","88.6","88.6","89.6","90","90","90.3","90.4","91.4","91.3","91.5","91.7","92","92.8","93.1","93.2"
"BRB","Barbados","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6"
"BRN","Brunei Darussalam","77.7","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","87.8","92.7","92.7","92.7","92.7","92.7","92.7","92.7","92.7","92.7","92.7","96.1","96.1","96.1","96.1","96.1","96.1","96.1","97.2"
"BTN","Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.8","52.8","52.8","52.8","52.8","52.8","52.8","57","57","57","57","57","66.6","66.6"
"BWA","Botswana","0","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","81.2","86.8","87.7","87.7","87.7","87.7","87.7"
"CAF","Central African Republic","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","37.4"
"CAN","Canada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CHE","Switzerland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
